,,  01  ,  02  ,  03  ,  04  ,  05  ,  06  ,  07  ,  08  ,  09  ,  10  ,  11  ,  12  ,  13  ,  14  ,  15  ,  16  ,  17  ,  18  ,  19  ,  20  ,  21  ,  22  ,  23  ,  24  ,  25  ,  26  ,  27  ,  28  ,  29  ,  30  ,  31  ,  32  ,  33  ,  34  ,  35  ,  36  ,  37  ,  38  ,  39  ,40,41,42,43,44,45,46,47,48,49,50,51,52,01-52
  26  ,電腦、電子及光學產品,.001328 ,.002649 ,.000856 ,.003911 ,.004834 ,.003003 ,.003425 ,.001567 ,.003880 ,.003665 ,.003592 ,.003086 ,.005414 ,.011752 ,.006916 ,.005997 ,.004829 ,.003673 ,.003772 ,.004694 ,.005095 ,.006414 ,.005988 ,.004712 ,.008371 ,1.133785 ,.013281 ,.030746 ,.008297 ,.019991 ,.004589 ,.014350 ,.004794 ,.008402 ,.004811 ,.028115 ,.010220 ,.003268 ,.004993 ,.002655 ,.030845 ,.022299 ,.042131 ,.002553 ,.002321 ,.023665 ,.016015 ,.004239 ,.013817 ,.029445 ,.018378 ,.005239 ,1.616667 
  27  ,電力設備,.003452 ,.004634 ,.004958 ,.010968 ,.017411 ,.005245 ,.005889 ,.001982 ,.009044 ,.007708 ,.007285 ,.006429 ,.008935 ,.006936 ,.017243 ,.013014 ,.009749 ,.005604 ,.008358 ,.011663 ,.011631 ,.014691 ,.009662 ,.011567 ,.021393 ,.036854 ,1.362879 ,.104637 ,.048135 ,.041179 ,.012072 ,.052890 ,.018784 ,.018544 ,.008241 ,.016442 ,.099059 ,.004470 ,.012590 ,.004815 ,.011202 ,.022891 ,.015538 ,.002579 ,.008528 ,.016580 ,.014578 ,.006679 ,.013418 ,.008505 ,.007250 ,.015933 ,2.220723 
  28  ,機械設備,.018282 ,.016382 ,.007530 ,.046241 ,.098655 ,.019630 ,.023090 ,.005518 ,.036319 ,.025708 ,.026488 ,.022151 ,.035554 ,.024426 ,.091721 ,.062279 ,.039405 ,.016779 ,.036510 ,.047145 ,.057043 ,.060946 ,.037763 ,.040783 ,.043602 ,.033967 ,.085368 ,1.273248 ,.059601 ,.080324 ,.045359 ,.192517 ,.078161 ,.100152 ,.025429 ,.069991 ,.076566 ,.008489 ,.042696 ,.013671 ,.014692 ,.008622 ,.008327 ,.005187 ,.007009 ,.015752 ,.023751 ,.009070 ,.010074 ,.017709 ,.014747 ,.016075 ,3.276503 
  29  ,汽車及其零件,.000552 ,.001926 ,.002528 ,.002015 ,.001839 ,.001959 ,.001699 ,.000573 ,.002237 ,.002881 ,.002214 ,.002395 ,.002230 ,.002138 ,.002543 ,.002303 ,.002224 ,.001692 ,.002137 ,.002150 ,.002835 ,.002302 ,.002580 ,.002418 ,.001927 ,.004223 ,.002356 ,.003652 ,1.573094 ,.013840 ,.002410 ,.003007 ,.001734 ,.002441 ,.001473 ,.002056 ,.002552 ,.003803 ,.010766 ,.001553 ,.001734 ,.002751 ,.001553 ,.001140 ,.000580 ,.002592 ,.012894 ,.003831 ,.001168 ,.002433 ,.001577 ,.072139 ,1.785645 
  30  ,其他運輸工具,.000306 ,.000897 ,.000362 ,.022460 ,.001367 ,.001156 ,.000961 ,.000236 ,.001266 ,.002438 ,.001569 ,.001057 ,.001396 ,.001208 ,.001331 ,.001388 ,.001249 ,.000971 ,.001204 ,.001303 ,.001509 ,.001882 ,.001631 ,.001409 ,.001419 ,.001149 ,.001318 ,.001394 ,.001831 ,1.523780 ,.001563 ,.052656 ,.002421 ,.001696 ,.003111 ,.002413 ,.001309 ,.000733 ,.008249 ,.000852 ,.000909 ,.000844 ,.000605 ,.000558 ,.000276 ,.001352 ,.001275 ,.000779 ,.000931 ,.004528 ,.002111 ,.021997 ,1.692617 
  31  ,家具,.000035 ,.000069 ,.000044 ,.000163 ,.000147 ,.000075 ,.000079 ,.000030 ,.000124 ,.000114 ,.000108 ,.000096 ,.000109 ,.000100 ,.000185 ,.000161 ,.000123 ,.000081 ,.000107 ,.000130 ,.000119 ,.000147 ,.000131 ,.000129 ,.000094 ,.000085 ,.000134 ,.000189 ,.000903 ,.002761 ,1.080906 ,.000918 ,.000145 ,.000174 ,.000150 ,.000147 ,.002410 ,.000078 ,.000223 ,.000078 ,.000108 ,.000165 ,.000056 ,.000054 ,.000176 ,.000163 ,.000077 ,.000242 ,.001562 ,.000092 ,.000100 ,.002989 ,1.097785 
  32  ,其他製品及機械修配,.004218 ,.007980 ,.002932 ,.054104 ,.019642 ,.009743 ,.011920 ,.002811 ,.016822 ,.027661 ,.014955 ,.011925 ,.019992 ,.016598 ,.019099 ,.020485 ,.017264 ,.012940 ,.016543 ,.018142 ,.021649 ,.029143 ,.023713 ,.018032 ,.022477 ,.016187 ,.016862 ,.018788 ,.015217 ,.024995 ,.018450 ,1.086544 ,.042675 ,.025067 ,.057835 ,.040754 ,.015711 ,.006337 ,.070423 ,.009160 ,.011782 ,.004939 ,.007240 ,.005659 ,.002848 ,.011145 ,.016054 ,.009245 ,.012217 ,.025781 ,.036352 ,.009010 ,2.058065 
  33  ,電力供應,.022263 ,.043699 ,.011088 ,.063299 ,.071544 ,.050662 ,.051384 ,.015207 ,.114768 ,.078354 ,.068946 ,.062478 ,.111365 ,.077417 ,.096343 ,.136783 ,.108229 ,.052546 ,.086176 ,.112923 ,.112532 ,.107685 ,.085475 ,.075578 ,.080213 ,.065278 ,.064911 ,.067067 ,.059787 ,.057649 ,.069211 ,.062612 ,1.173933 ,.090283 ,.086629 ,.046865 ,.058969 ,.030016 ,.048755 ,.040631 ,.034439 ,.025796 ,.020358 ,.010331 ,.011468 ,.030194 ,.021636 ,.017384 ,.029726 ,.036658 ,.038246 ,.034068 ,4.229860 
  34  ,燃氣供應,.000642 ,.001888 ,.002521 ,.001404 ,.001582 ,.002579 ,.002155 ,.000498 ,.005062 ,.003414 ,.002505 ,.002576 ,.002970 ,.005900 ,.001596 ,.004053 ,.003251 ,.004509 ,.003182 ,.003474 ,.011083 ,.003948 ,.003953 ,.003879 ,.004926 ,.003410 ,.003363 ,.003105 ,.003457 ,.002902 ,.003454 ,.003052 ,.003672 ,1.156720 ,.001213 ,.004432 ,.003453 ,.002004 ,.001714 ,.025057 ,.002424 ,.001357 ,.001530 ,.000941 ,.001389 ,.002737 ,.002047 ,.001106 ,.001422 ,.002767 ,.002530 ,.003138 ,1.327945 
  35  ,用水供應,.000850 ,.003889 ,.000327 ,.002110 ,.002210 ,.004657 ,.003020 ,.000980 ,.005508 ,.003538 ,.004140 ,.003972 ,.002841 ,.002823 ,.002806 ,.006290 ,.004950 ,.003439 ,.003244 ,.005606 ,.004475 ,.004641 ,.004011 ,.003739 ,.003007 ,.002526 ,.002839 ,.002820 ,.003322 ,.003323 ,.003164 ,.003287 ,.002457 ,.002619 ,1.334178 ,.001534 ,.003250 ,.001591 ,.001674 ,.003837 ,.001559 ,.000943 ,.001201 ,.000609 ,.000582 ,.001898 ,.001109 ,.001081 ,.001146 ,.001520 ,.002061 ,.002441 ,1.475649 
  36  ,污染整治,.002468 ,.006921 ,.002106 ,.005061 ,.007021 ,.007246 ,.013749 ,.016573 ,.006505 ,.004970 ,.012401 ,.005225 ,.091447 ,.025848 ,.007014 ,.009495 ,.009643 ,.006450 ,.008579 ,.008182 ,.015683 ,.096771 ,.108490 ,.043373 ,.009920 ,.009705 ,.038755 ,.037797 ,.022748 ,.024678 ,.028392 ,.020684 ,.006268 ,.007620 ,.003838 ,1.232526 ,.024016 ,.002583 ,.005074 ,.004543 ,.011720 ,.002828 ,.002931 ,.001732 ,.002305 ,.005377 ,.005139 ,.038804 ,.014745 ,.008566 ,.003256 ,.005099 ,2.102871 
  37  ,營造工程,.006706 ,.011646 ,.005801 ,.016632 ,.027353 ,.010971 ,.010830 ,.005181 ,.019000 ,.015200 ,.017117 ,.015473 ,.018493 ,.016382 ,.027176 ,.025135 ,.019777 ,.012830 ,.015744 ,.020649 ,.021677 ,.026243 ,.022327 ,.018814 ,.014432 ,.012735 ,.015980 ,.018189 ,.012806 ,.016035 ,.018818 ,.020468 ,.022357 ,.029134 ,.024259 ,.025842 ,1.015719 ,.015033 ,.024741 ,.012132 ,.025343 ,.034509 ,.009741 ,.006050 ,.067307 ,.011590 ,.010706 ,.011209 ,.010358 ,.012258 ,.014852 ,.009504 ,1.929264 
  38  ,批發及零售,.060591 ,.325789 ,.019267 ,.187887 ,.103965 ,.238341 ,.177962 ,.032081 ,.185750 ,.251905 ,.224144 ,.258790 ,.274800 ,.258375 ,.105284 ,.138753 ,.199586 ,.192766 ,.143477 ,.169812 ,.163397 ,.202208 ,.308499 ,.222397 ,.149304 ,.180137 ,.264464 ,.266831 ,.277276 ,.259322 ,.263557 ,.211584 ,.094560 ,.126315 ,.052726 ,.112384 ,.211518 ,1.054968 ,.101804 ,.152223 ,.184979 ,.108676 ,.088658 ,.019978 ,.024642 ,.098900 ,.084199 ,.046441 ,.038561 ,.161981 ,.073571 ,.094627 ,9.250013 
  39  ,運輸倉儲,.013264 ,.040356 ,.025887 ,.052115 ,.069286 ,.040367 ,.033289 ,.008899 ,.049735 ,.051128 ,.049393 ,.057071 ,.051831 ,.038545 ,.063217 ,.058059 ,.054194 ,.036911 ,.049054 ,.051957 ,.068410 ,.057390 ,.053946 ,.048600 ,.038232 ,.045653 ,.051608 ,.057686 ,.046961 ,.043563 ,.059955 ,.048131 ,.053738 ,.076092 ,.021812 ,.044460 ,.059543 ,.033635 ,1.233200 ,.025780 ,.030456 ,.021236 ,.026390 ,.017643 ,.009528 ,.031405 ,.024576 ,.018771 ,.015874 ,.028755 ,.016953 ,.022816 ,3.327356 
40,住宿及餐飲,.004227 ,.013387 ,.015895 ,.009207 ,.007221 ,.013271 ,.010438 ,.005696 ,.015616 ,.019369 ,.016157 ,.016364 ,.014517 ,.014279 ,.007306 ,.009505 ,.014434 ,.073660 ,.011373 ,.026698 ,.011248 ,.012030 ,.015327 ,.013737 ,.010879 ,.016068 ,.016073 ,.018299 ,.014277 ,.014838 ,.024156 ,.018338 ,.006643 ,.008626 ,.007483 ,.029637 ,.013231 ,.027618 ,.020727 ,1.009208 ,.020281 ,.007478 ,.015834 ,.012459 ,.005447 ,.019530 ,.008618 ,.017631 ,.011059 ,.017912 ,.016255 ,.030975 ,1.810542 
41,傳播服務,.001280 ,.004670 ,.001480 ,.003397 ,.003216 ,.005240 ,.005807 ,.002376 ,.003822 ,.005456 ,.005177 ,.006032 ,.005228 ,.004873 ,.003265 ,.003374 ,.005054 ,.007185 ,.004009 ,.004002 ,.005525 ,.003763 ,.004703 ,.003920 ,.004241 ,.004784 ,.004704 ,.004754 ,.004294 ,.005412 ,.005251 ,.006800 ,.003304 ,.004132 ,.004127 ,.003742 ,.006238 ,.007083 ,.005668 ,.005027 ,1.236925 ,.008442 ,.035571 ,.006303 ,.004394 ,.066648 ,.026165 ,.006373 ,.013445 ,.005028 ,.048381 ,.012346 ,1.652435 
42,電信服務,.002109 ,.006774 ,.003761 ,.008093 ,.008374 ,.006869 ,.006331 ,.002174 ,.008990 ,.011541 ,.010558 ,.014170 ,.009959 ,.015629 ,.008197 ,.007255 ,.009706 ,.008218 ,.008366 ,.009131 ,.010409 ,.007897 ,.009576 ,.009583 ,.007281 ,.007187 ,.008640 ,.010093 ,.007677 ,.008953 ,.011458 ,.009935 ,.007031 ,.009166 ,.006730 ,.006986 ,.010815 ,.013571 ,.010857 ,.010367 ,.015646 ,1.192868 ,.064636 ,.012317 ,.004771 ,.015756 ,.015813 ,.021645 ,.006047 ,.016019 ,.013015 ,.015127 ,1.744077 
43,資訊服務,.001316 ,.005744 ,.001075 ,.003696 ,.002606 ,.005849 ,.004274 ,.001463 ,.005881 ,.011131 ,.007177 ,.007589 ,.006967 ,.007343 ,.002894 ,.004315 ,.008081 ,.006807 ,.003866 ,.006191 ,.004948 ,.004489 ,.008374 ,.004861 ,.006289 ,.005968 ,.006442 ,.005668 ,.005827 ,.007169 ,.008442 ,.006343 ,.002997 ,.003339 ,.010250 ,.004480 ,.005341 ,.012388 ,.007137 ,.013151 ,.010164 ,.006326 ,1.091916 ,.012569 ,.007824 ,.008699 ,.011643 ,.008758 ,.003917 ,.005968 ,.008448 ,.003446 ,1.417842 
44,金融及保險,.012415 ,.039943 ,.020703 ,.028351 ,.022425 ,.035889 ,.029276 ,.006744 ,.041683 ,.041252 ,.057938 ,.044861 ,.051531 ,.042039 ,.026118 ,.035017 ,.040971 ,.033793 ,.043667 ,.045928 ,.034191 ,.046997 ,.062906 ,.044358 ,.046805 ,.050632 ,.057856 ,.046021 ,.041223 ,.041873 ,.046106 ,.040197 ,.028683 ,.036114 ,.026363 ,.040557 ,.037068 ,.031332 ,.036045 ,.030189 ,.029059 ,.020467 ,.023031 ,1.201251 ,.096389 ,.038072 ,.024265 ,.029954 ,.012503 ,.024163 ,.030103 ,.024893 ,3.080211 
45,不動產及住宅服務,.003446 ,.016271 ,.002330 ,.014521 ,.008502 ,.014261 ,.010825 ,.006259 ,.015650 ,.023973 ,.015542 ,.015386 ,.016656 ,.019747 ,.008452 ,.009848 ,.013203 ,.014682 ,.010401 ,.012377 ,.013424 ,.012494 ,.017755 ,.015029 ,.010654 ,.013796 ,.017942 ,.019190 ,.016801 ,.014841 ,.019747 ,.015878 ,.007777 ,.010242 ,.004662 ,.014053 ,.015729 ,.042710 ,.023024 ,.030586 ,.020800 ,.014343 ,.018264 ,.025924 ,1.011328 ,.017486 ,.019027 ,.005651 ,.005523 ,.015813 ,.053865 ,.026217 ,1.822905 
46,專業、科學及技術服務,.011658 ,.042179 ,.003940 ,.021037 ,.018167 ,.052764 ,.063481 ,.028068 ,.027038 ,.035576 ,.035818 ,.032908 ,.038266 ,.034432 ,.019839 ,.021962 ,.043596 ,.078771 ,.034554 ,.030789 ,.027308 ,.024357 ,.031722 ,.025673 ,.026559 ,.033937 ,.032014 ,.030432 ,.032295 ,.043216 ,.040134 ,.030844 ,.022326 ,.025255 ,.029164 ,.027320 ,.056725 ,.042774 ,.023625 ,.032882 ,.071403 ,.054116 ,.034888 ,.043084 ,.047278 ,1.062873 ,.031898 ,.018858 ,.009908 ,.024931 ,.030346 ,.027188 ,2.770174 
47,支援服務,.006022 ,.021141 ,.005706 ,.018212 ,.022998 ,.022133 ,.020731 ,.014516 ,.025122 ,.032346 ,.025333 ,.020746 ,.026528 ,.027637 ,.024263 ,.027275 ,.033651 ,.026740 ,.023112 ,.024705 ,.099900 ,.029747 ,.037503 ,.031624 ,.047733 ,.040022 ,.032595 ,.033293 ,.031155 ,.033127 ,.032361 ,.031031 ,.022789 ,.032830 ,.022102 ,.030652 ,.039599 ,.041112 ,.080442 ,.022255 ,.025570 ,.052421 ,.030802 ,.019698 ,.009412 ,.033465 ,1.033254 ,.021668 ,.018967 ,.022184 ,.024980 ,.015446 ,2.528663 
48,公共行政；強制性社會安全,.005995 ,.012242 ,.030464 ,.005484 ,.006381 ,.010593 ,.008577 ,.017393 ,.007603 ,.010950 ,.011166 ,.018303 ,.010037 ,.011278 ,.006979 ,.007707 ,.008165 ,.009976 ,.012292 ,.009224 ,.008461 ,.009279 ,.010378 ,.010689 ,.007397 ,.006626 ,.010121 ,.011453 ,.009676 ,.008263 ,.011968 ,.010091 ,.011496 ,.007948 ,.014777 ,.012738 ,.011478 ,.009166 ,.011930 ,.006382 ,.011008 ,.011810 ,.006268 ,.014122 ,.008501 ,.005777 ,.007825 ,1.002281 ,.004308 ,.005592 ,.012821 ,.005500 ,1.516936 
49,教育服務,.000460 ,.002025 ,.001372 ,.000612 ,.000411 ,.001257 ,.001011 ,.000403 ,.000813 ,.001159 ,.000888 ,.001093 ,.000938 ,.000734 ,.000446 ,.000576 ,.001059 ,.001481 ,.000867 ,.000643 ,.000684 ,.001221 ,.001798 ,.001620 ,.000833 ,.001053 ,.001937 ,.001044 ,.000975 ,.001166 ,.001640 ,.001302 ,.000656 ,.000575 ,.004741 ,.002391 ,.001614 ,.000646 ,.000755 ,.000686 ,.001875 ,.003314 ,.001566 ,.001011 ,.000720 ,.008702 ,.001000 ,.005826 ,1.001076 ,.001030 ,.000600 ,.000547 ,1.072850 
50,醫療保健及社會工作服務,.000069 ,.000078 ,.001687 ,.000040 ,.000015 ,.000067 ,.000022 ,.000016 ,.000061 ,.000119 ,.000155 ,.000277 ,.000032 ,.000021 ,.000016 ,.000030 ,.000039 ,.000048 ,.000252 ,.000038 ,.000034 ,.000020 ,.000019 ,.000034 ,.000024 ,.000037 ,.000060 ,.000038 ,.000037 ,.000075 ,.000054 ,.000048 ,.000018 ,.000017 ,.000143 ,.000027 ,.000037 ,.000014 ,.000030 ,.000034 ,.000046 ,.000014 ,.000010 ,.000023 ,.000010 ,.000021 ,.000018 ,.000769 ,.000032 ,1.000026 ,.000017 ,.000029 ,1.004900 
51,藝術、娛樂及休閒服務,.000429 ,.001906 ,.000315 ,.001191 ,.000886 ,.002014 ,.002151 ,.000566 ,.001481 ,.002248 ,.001873 ,.001943 ,.001833 ,.002534 ,.000911 ,.001109 ,.001770 ,.002425 ,.001446 ,.001499 ,.001488 ,.001458 ,.002183 ,.001862 ,.001264 ,.001541 ,.001955 ,.002081 ,.001880 ,.002037 ,.001845 ,.003219 ,.000932 ,.001227 ,.000922 ,.001406 ,.002081 ,.003819 ,.001453 ,.001408 ,.034770 ,.001503 ,.001929 ,.002021 ,.001901 ,.013244 ,.002551 ,.003039 ,.001131 ,.001222 ,1.026451 ,.010177 ,1.166530 
52,其他服務,.001899 ,.006441 ,.005372 ,.007159 ,.007100 ,.008030 ,.008715 ,.002249 ,.010424 ,.011126 ,.011105 ,.010982 ,.009419 ,.010636 ,.007577 ,.007796 ,.008282 ,.006687 ,.009184 ,.009518 ,.008101 ,.011260 ,.011627 ,.014154 ,.007708 ,.007617 ,.008898 ,.010771 ,.010466 ,.008606 ,.010701 ,.014434 ,.007230 ,.008815 ,.010879 ,.012423 ,.012865 ,.008992 ,.019494 ,.008807 ,.008083 ,.022633 ,.006035 ,.009110 ,.003535 ,.006361 ,.007121 ,.009305 ,.003305 ,.009797 ,.009868 ,1.014846 ,1.483546 
01-52,合計,1.910609 ,3.403620 ,1.422249 ,2.945768 ,2.421300 ,3.385738 ,2.693974 ,1.491544 ,4.086324 ,3.471264 ,3.741162 ,2.988579 ,3.527645 ,3.034719 ,3.371628 ,4.922695 ,4.261484 ,2.884841 ,3.574007 ,4.343640 ,3.129762 ,4.711205 ,4.561376 ,3.756389 ,3.523852 ,3.591287 ,4.041227 ,4.015403 ,3.700170 ,3.740918 ,3.783203 ,3.471707 ,3.104999 ,4.010378 ,2.222215 ,2.659009 ,3.446765 ,1.691002 ,2.816050 ,2.408899 ,2.520205 ,1.887861 ,1.878473 ,1.560089 ,1.508457 ,2.205474 ,1.861834 ,1.575859 ,1.473463 ,1.983469 ,1.833485 ,1.988252 ,154.545528 
