個  股  總  覽 -- 2897 臺工銀,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,謍收總計,利息收入,手續費及佣金,金融利益(公平價值)--,買賣債票券利益,其他營業收入,營業支出總計,利息支出,手續費及,金融損失(公平價值)--,用人費用,其他營業支出,營業外損益,稅前盈餘,出售證券利益,營業利益--國內總分行
,(百萬元),(百萬元),收入(百萬),國內總分行(百萬元),(百萬元),(百萬元),(百萬元),(百萬元),佣金支出,國內總分行(百萬元),(百萬元),(百萬元),(百萬元),(百萬元),(百萬元),(百萬元)
,"NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M"
Dec-15,"4,802","2,025",378,"1,666",-,733,"3,429","1,095",21,"1,338",750,224,0,"1,373",-,"1,373"
Nov-15,"4,565","1,854",334,"1,580",-,797,"3,451","1,012",18,"1,299",736,387,0,"1,114",-,"1,114"
Oct-15,"4,138","1,687",310,"1,462",-,679,"3,159",927,17,"1,203",669,343,0,979,-,979
Sep-15,"3,755","1,515",285,"1,381",-,575,"2,927",835,15,"1,139",611,327,0,828,-,828
Aug-15,"3,332","1,343",245,"1,305",-,440,"2,669",746,14,"1,095",532,281,0,664,-,663
Jul-15,"3,203","1,171",218,"1,037",-,777,"2,349",651,14,835,495,354,0,854,-,854
Jun-15,"2,729","1,001",191,908,-,629,"1,979",566,11,681,424,297,0,750,-,750
May-15,"2,589",833,147,949,-,660,"1,928",476,10,743,355,344,0,661,-,661
Apr-15,"1,989",660,105,786,-,438,"1,558",380,8,570,289,311,0,431,-,431
Mar-15,"1,803",498,73,851,-,382,"1,458",285,7,759,214,193,0,345,-,345
Feb-15,"1,028",331,48,451,-,198,849,187,6,388,141,127,0,179,-,179
Jan-15,787,164,34,436,-,153,728,99,3,472,75,79,0,58,-,59
Dec-14,"5,443","1,779",255,"2,223",-,"1,186","4,231",959,21,"1,779",658,814,0,"1,213",-,"1,212"
Nov-14,"4,826","1,617",226,"1,926",-,"1,057","3,782",863,17,"1,535",679,689,0,"1,044",-,"1,044"
Oct-14,"4,133","1,462",215,"1,626",-,829,"3,296",776,16,"1,265",622,617,0,837,-,837
Sep-14,"3,836","1,302",198,"1,575",-,761,"3,069",686,15,"1,215",570,583,0,768,-,767
Aug-14,"3,211","1,145",178,"1,219",-,669,"2,500",603,14,899,510,473,0,712,-,711
Jul-14,"2,889",984,152,"1,153",-,600,"2,232",522,12,865,449,384,0,657,-,657
Jun-14,"2,519",829,141,"1,031",-,518,"1,969",445,9,771,390,354,0,550,-,550
May-14,"2,118",683,125,887,-,424,"1,600",369,9,625,332,264,0,519,-,518
Apr-14,"1,593",537,72,727,-,256,"1,231",289,8,554,267,113,0,362,-,362
Mar-14,"-16,905",398,44,522,-,"-17,868","-17,135",212,5,355,205,"-17,911",0,230,-,230
Feb-14,"-18,194",258,21,323,-,"-18,796","-18,333",138,4,253,138,"-18,866",0,139,-,139
Jan-14,"-18,502",136,12,151,-,"-18,801","-18,550",71,3,170,74,"-18,868",0,48,-,48
Dec-13,"18,893","1,465",231,"2,118",-,"15,079","18,218",795,18,"1,262",551,"15,592",0,675,-,675
Nov-13,"16,420","1,334",212,"1,901",-,"12,973","15,884",752,17,"1,120",594,"13,401",0,536,-,536
Oct-13,"13,689","1,208",200,"1,872",-,"10,410","13,205",685,15,"1,103",538,"10,864",0,485,-,484
Sep-13,"7,480","1,079",182,"1,745",-,"4,474","7,069",615,14,972,482,"4,986",0,412,-,411
Aug-13,"2,952",955,158,"1,619",-,220,"2,620",547,13,921,425,715,0,332,-,332
Jul-13,"-2,951",830,140,"1,569",-,"-5,490","-3,191",476,12,912,367,"-4,958",0,240,-,240
Jun-13,"-3,595",707,117,"2,803",-,"-7,222","-3,785",407,9,"1,051",313,"-5,565",0,189,-,190
May-13,"-5,058",591,93,"2,148",-,"-7,889","-5,258",340,8,734,266,"-6,606",0,200,-,200
Apr-13,"-2,701",473,79,"1,643",-,"-4,896","-2,811",272,7,520,208,"-3,818",0,110,-,110
Mar-13,"-3,779",358,70,"1,270",-,"-5,477","-3,902",205,5,398,158,"-4,667",0,123,-,123
Feb-13,"-2,760",237,60,649,-,"-3,707","-2,873",136,4,306,110,"-3,429",0,113,-,113
Jan-13,"-3,036",120,50,440,-,"-3,646","-3,107",71,3,245,56,"-3,483",0,71,-,71
Dec-12,"5,996","1,690",212,"2,661",-,"1,433","6,266",933,12,"2,883",476,"1,962",0,-270,-,-270
Nov-12,"5,664","1,546",203,"2,495",-,"1,420","4,878",860,11,"2,746",525,736,0,786,-,786
Oct-12,"5,194","1,402",195,"2,329",-,"1,268","4,432",786,10,"2,438",488,711,0,762,-,762
Sep-12,"4,520","1,256",181,"2,117",-,967,"3,914",710,9,"2,072",451,672,0,606,-,606
Aug-12,"4,012","1,106",173,"2,000",-,733,"3,481",637,8,"1,802",402,632,0,531,-,531
Jul-12,"3,554",956,164,"1,805",-,629,"3,134",561,7,"1,658",346,562,0,419,-,420
Jun-12,"3,036",818,100,"1,334",-,784,"2,744",486,6,"1,458",292,502,0,292,-,292
May-12,"2,670",678,53,899,-,"1,040","2,382",410,4,"1,292",247,429,0,287,-,288
Apr-12,"2,177",541,40,800,-,797,"1,947",330,3,"1,024",202,387,0,230,-,230
Mar-12,"1,724",411,29,728,-,555,"1,468",253,2,869,165,179,0,256,-,256
Feb-12,"1,146",279,16,562,-,289,889,169,2,478,119,121,0,257,-,257
Jan-12,552,142,10,319,-,81,447,85,1,188,56,117,0,104,-,105
Dec-11,"9,320","1,385",191,"5,608",-,"2,136","8,559",767,8,"5,736",440,"1,607",0,761,-,761
Nov-11,"9,367","1,256",178,"7,375",-,559,"9,269",685,8,"7,445",410,721,0,99,-,98
Oct-11,"8,589","1,137",168,"6,773",-,510,"8,518",607,7,"6,844",376,684,0,71,-,71
Sep-11,"6,826","1,028",158,"4,995",-,644,"6,755",529,6,"5,224",336,659,0,71,-,71
Aug-11,"7,854",903,148,"6,155",-,648,"7,788",459,6,"6,395",302,627,0,67,-,66
Jul-11,"7,307",784,137,"5,713",-,673,"7,181",394,5,"5,924",275,584,0,126,-,126
Jun-11,"6,029",671,120,"4,868",-,370,"6,152",335,4,"5,038",214,561,0,-123,-,-123
May-11,"5,114",561,100,"4,129",-,324,"4,835",277,3,"4,181",218,156,0,279,-,279
Apr-11,"4,361",444,64,"3,433",-,419,"4,051",216,3,"3,533",185,113,0,310,-,-
Mar-11,"4,461",335,57,"3,788",-,281,"4,237",162,2,"3,853",137,83,0,224,-,224
Feb-11,"3,228",216,45,"2,725",-,242,"2,985",106,1,"2,699",100,79,0,243,-,243
Jan-11,"1,717",114,18,"1,371",-,214,"1,506",56,1,"1,361",62,27,0,211,-,211
Dec-10,"9,113","1,355",233,"6,274",-,"1,252","7,599",548,20,"5,341",544,"1,146",0,"1,514",-,"1,514"
Nov-10,"8,233","1,240",217,"5,548",-,"1,228","6,856",495,15,"4,710",521,"1,116",0,"1,377",-,"1,377"
Oct-10,"7,896","1,133",208,"5,433",-,"1,122","6,658",446,14,"4,717",470,"1,010",0,"1,238",-,"1,238"
Sep-10,"6,649","1,022",191,"4,434",-,"1,001","5,548",394,13,"3,785",424,932,0,"1,102",-,"1,101"
Aug-10,"5,546",896,172,"3,670",-,808,"4,698",343,8,"3,011",357,979,0,848,-,848
Jul-10,"4,723",776,160,"3,202",-,584,"4,101",293,7,"2,620",302,880,0,621,-,622
Jun-10,"3,868",659,113,"2,685",-,411,"3,373",243,6,"2,205",256,663,0,495,-,495
May-10,"2,835",549,89,"1,888",-,310,"2,384",198,5,"1,573",216,392,0,451,-,451
Apr-10,"2,081",433,69,"1,304",-,275,"1,725",153,4,"1,095",174,300,0,355,-,356
Mar-10,"1,605",324,53,"1,051",-,176,"1,364",112,3,872,127,250,0,241,-,241
Feb-10,996,205,34,736,-,20,961,72,1,698,68,122,0,35,-,35
Jan-10,561,108,21,473,-,-41,613,40,1,409,33,131,0,-52,-,-52
Dec-09,"6,991","1,542",260,"3,611",-,"1,578","5,538",663,27,"3,349",591,908,0,"1,453",-,"1,453"
Nov-09,"6,324","1,438",226,"3,268",-,"1,392","4,912",627,17,"3,080",535,652,0,"1,412",-,"1,412"
Oct-09,"5,915","1,337",213,"3,123",-,"1,243","4,695",592,17,"2,979",487,620,0,"1,221",-,"1,220"
Sep-09,"16,605","1,231",188,"2,484",-,"12,704","15,461",553,16,"2,374",442,"12,077",0,"1,144",-,"1,144"
Aug-09,"14,600","1,116",168,"2,138",-,"11,178","13,645",515,15,"1,926",390,"10,799",0,955,-,955
Jul-09,"11,816","1,009",149,"1,986",-,"8,671","10,869",476,12,"1,716",361,"8,305",0,947,-,947
Jun-09,"6,306",902,137,"1,827",-,"3,441","5,530",434,11,"1,601",304,"3,180",0,776,-,776
May-09,"4,835",786,140,"1,899",-,"2,010","3,903",391,11,"1,566",290,"1,645",0,932,-,932
Apr-09,"5,217",665,63,"1,423",-,"3,066","4,746",338,3,"1,227",198,"2,981",0,470,-,471
Mar-09,"6,743",502,51,"1,296",-,"4,894","6,513",276,2,"1,110",139,"4,986",0,230,-,230
Feb-09,"10,954",334,41,"1,374",-,"9,205","10,834",199,2,"1,319",87,"9,227",0,120,-,120
Jan-09,"9,398",188,34,491,-,"8,684","9,234",115,1,449,48,"8,622",0,164,-,164
Dec-08,"36,255","2,577",326,"5,972",-,"27,381","37,113","1,536",17,"5,542",382,"29,637",0,-858,-,-858
Nov-08,"35,648","2,350",313,"6,096",-,"26,890","34,951","1,413",16,"5,487",393,"27,642",0,697,-,697
Oct-08,"32,558","2,136",305,"5,997",-,"24,120","31,737","1,289",16,"5,682",371,"24,379",0,821,-,821
Sep-08,"19,238","1,930",285,"4,552",-,"12,471","18,504","1,171",15,"4,331",341,"12,646",0,734,-,734
Aug-08,"16,381","1,705",268,"3,799",-,"10,608","15,570","1,050",13,"3,702",325,"10,480",0,811,-,811
Jul-08,"18,339","1,504",221,"3,161",-,"13,454","17,686",921,13,"3,210",276,"13,267",0,653,-,653
Jun-08,"19,176","1,300",195,"3,082",-,"14,599","18,469",787,10,"3,076",247,"14,349",0,707,-,707
May-08,"17,357","1,072",95,"2,793",-,"13,398","16,587",646,5,"2,856",218,"12,862",0,770,-,770
Apr-08,"16,469",834,70,"2,719",-,"12,846","15,791",497,4,"2,667",174,"12,449",0,678,-,678
Mar-08,"17,909",614,54,"2,915",-,"14,326","17,463",357,3,"2,841",116,"14,146",0,446,-,446
Feb-08,"10,661",367,37,"1,669",-,"8,588","10,417",224,2,"1,608",64,"8,519",0,244,-,244
Jan-08,"4,484",175,25,816,-,"3,468","4,556",107,1,848,14,"3,587",0,-72,-,-72
Dec-07,"16,938","1,642",284,"3,420",-,"11,593","14,873","1,255",14,"2,483",558,"10,563",0,"2,066",-,"2,065"
Nov-07,"17,248","1,487",201,"3,346",-,"12,215","15,221","1,157",13,"2,501",553,"10,997",0,"2,027",-,"2,027"
Oct-07,"14,367","1,348",170,"3,578",-,"9,271","12,400","1,045",12,"2,750",509,"8,085",0,"1,968",-,"1,967"
Sep-07,"13,418","1,196",157,"3,302",-,"8,763","11,483",934,11,"2,502",473,"7,563",0,"1,935",-,"1,935"
Aug-07,"12,256","1,053",133,"3,141",-,"7,929","10,486",844,7,"2,694",424,"6,517",0,"1,770",-,"1,770"
Jul-07,"10,374",902,105,"2,597",-,"6,769","8,578",750,6,"2,082",398,"5,342",0,"1,796",-,"1,796"
Jun-07,"9,745",771,90,"2,617",-,"6,266","8,450",664,5,"1,729",319,"5,734",0,"1,294",-,"1,295"
May-07,"7,931",643,77,"1,940",-,"5,271","6,920",547,4,"1,307",270,"4,792",0,"1,011",-,"1,011"
Apr-07,"7,082",513,63,"1,565",-,"4,941","6,260",433,3,"1,154",207,"4,463",0,822,-,822
Mar-07,"5,258",394,53,"1,006",-,"3,805","4,470",325,2,756,174,"3,212",0,788,-,788
Feb-07,"3,344",254,33,391,-,"2,665","2,754",210,2,279,118,"2,145",0,589,-,-
Jan-07,"2,143",185,21,605,-,"1,332","2,046",161,1,540,41,"1,303",0,97,-,-
Dec-06,"15,816","1,646",365,"5,374",-,"8,431","15,005","1,198",9,"4,606",474,"8,718",154,965,-,-
Nov-06,"13,872","1,499",333,"4,759",-,"7,282","12,359","1,079",9,"4,209",457,"6,605",154,"1,668",-,-
Oct-06,"12,834","1,344",315,"4,019",-,"7,157","11,722",970,8,"3,618",416,"6,710",154,"1,267",-,-
Sep-06,"11,406","1,208",232,"3,610",-,"6,355","10,546",865,7,"3,228",362,"6,084",154,"1,014",-,-
Aug-06,"10,320","1,064",201,"3,449",-,"5,606","9,611",758,6,"3,098",320,"5,428",154,864,-,-
Jul-06,"8,928",923,169,"3,093",-,"4,743","8,404",652,6,"2,856",272,"4,617",154,679,-,-
Jun-06,"4,133",781,155,"2,721",-,475,"3,744",550,5,"2,508",230,452,174,562,-,-
May-06,"3,656",650,128,"2,479",-,400,"3,154",456,4,"2,122",230,342,174,676,-,-
Apr-06,"3,443",503,81,"2,188",-,671,"2,729",358,3,"1,839",196,333,174,888,-,-
Mar-06,"2,592",370,47,"1,694",-,481,"2,231",263,3,"1,496",133,336,174,535,-,-
Feb-06,"4,002",247,25,"1,494",-,"2,237","3,817",175,2,"1,419",86,"2,136",174,358,-,-
Jan-06,"3,557",141,16,"1,466",-,"1,933","3,456",95,1,"1,384",48,"1,928",141,242,-,-
Dec-05,"4,312","2,767",573,-,447,524,"2,808","1,814",7,-,490,498,20,"1,524",0,-
Nov-05,"3,547","2,423",273,-,379,472,"2,396","1,575",6,-,444,371,15,"1,165",0,-
Oct-05,"3,172","2,191",259,-,301,422,"2,158","1,429",5,-,398,326,15,"1,029",0,-
Sep-05,"3,134","1,980",239,-,382,533,"1,986","1,302",5,-,386,293,14,"1,162",0,-
Aug-05,"2,802","1,725",220,-,400,457,"1,733","1,132",4,-,349,249,14,"1,083",0,-
Jul-05,"2,421","1,505",166,-,325,424,"1,513",995,4,-,300,214,14,922,0,-
Jun-05,"1,920","1,222",145,-,207,346,"1,235",797,3,-,249,186,14,699,0,-
May-05,"1,475",960,111,-,142,262,988,634,3,-,198,153,2,488,0,-
Apr-05,"1,184",747,98,-,127,213,780,490,2,-,163,124,1,406,0,-
Mar-05,960,543,63,-,132,222,578,352,1,-,133,93,1,382,-,-
