個  股  總  覽 -- 2897 臺工銀,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,營收總計,利息收入,手續費收入,金融利益(公平價值),其他收益,營業支出總計,利息費用,手續費費用,金融損失(公平價值),用人費用,其他費損,營業損益,其他損益,稅前損益
,,,,,,,,,,,,,,
,"NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M","NTD, M"
Dec-15,"3,009",748,129,"2,127",6,"2,688",257,4,"1,886",104,436,321,0,322
Nov-15,"2,383",669,123,"1,585",6,"2,073",232,4,"1,356",95,386,310,0,311
Oct-15,"1,946",603,120,"1,216",7,"1,651",211,4,987,86,363,295,0,296
Sep-15,"2,417",543,118,"1,750",6,"2,080",191,3,"1,526",76,284,337,0,337
Aug-15,"2,597",475,114,"2,003",5,"2,258",168,3,"1,785",65,237,339,0,339
Jul-15,"1,146",396,106,640,4,838,140,2,427,54,215,308,0,308
Jun-15,989,328,96,560,4,731,117,2,377,45,190,258,0,258
May-15,801,270,94,433,4,504,98,2,275,36,93,297,0,297
Apr-15,650,210,89,347,3,376,78,1,206,28,63,274,0,273
Mar-15,544,156,89,297,2,324,59,1,186,21,56,220,0,220
Feb-15,628,99,76,452,1,457,39,1,373,14,30,171,0,172
Jan-15,567,52,70,445,0,431,21,0,388,7,15,136,0,136
Dec-14,"1,618",564,129,922,3,"1,204",264,4,758,78,101,414,0,414
Nov-14,"1,309",500,123,683,4,941,236,3,524,69,109,368,0,367
Oct-14,"1,151",441,119,588,3,826,211,3,437,62,114,325,0,325
Sep-14,"1,246",389,116,738,3,933,190,3,593,54,94,313,0,313
Aug-14,897,337,65,492,4,664,166,2,365,47,83,233,0,234
Jul-14,828,289,60,475,4,635,145,2,375,40,73,193,0,193
Jun-14,868,241,58,566,3,704,122,2,486,34,60,164,0,165
May-14,952,199,54,696,2,782,101,1,622,28,30,170,0,169
Apr-14,925,158,19,745,3,799,79,1,670,22,27,126,0,125
Mar-14,661,119,14,488,39,547,59,1,422,16,48,114,0,114
Feb-14,351,78,9,243,21,277,38,1,194,11,33,74,0,74
Jan-14,164,39,8,105,12,116,21,0,69,5,20,48,0,48
Dec-13,"1,285",341,157,614,173,"1,007",117,5,519,45,321,278,0,279
Nov-13,"1,172",301,153,558,159,872,98,5,473,40,256,300,0,300
Oct-13,962,267,86,456,153,739,84,2,375,35,243,223,0,223
Sep-13,990,234,85,524,147,771,73,2,456,31,209,219,0,219
Aug-13,"1,033",208,84,604,136,812,64,2,532,27,187,221,0,221
Jul-13,802,182,82,420,118,615,55,2,359,23,177,187,0,187
Jun-13,697,154,80,362,102,528,45,1,314,19,149,169,0,169
May-13,594,126,77,294,97,457,37,1,264,16,139,137,0,137
Apr-13,498,97,72,266,64,385,27,1,246,12,99,113,0,113
Mar-13,294,71,71,98,54,209,20,1,89,9,90,85,0,86
Feb-13,299,44,10,213,32,273,12,0,210,6,45,26,0,26
Jan-13,89,23,5,50,12,78,6,0,49,3,20,11,0,11
Dec-12,"1,363",284,52,"1,020",7,"1,219",100,4,"1,023",26,67,144,0,144
Nov-12,"1,236",263,51,914,7,"1,099",94,4,917,23,62,137,0,137
Oct-12,"1,173",243,51,873,6,"1,051",88,3,879,21,60,122,0,122
Sep-12,"1,079",213,50,810,6,975,81,3,816,18,57,104,0,104
Aug-12,984,193,49,737,6,886,74,3,743,17,50,98,0,98
Jul-12,884,168,45,665,5,804,65,3,673,15,49,80,0,81
Jun-12,750,141,42,562,5,682,56,3,569,12,43,68,0,68
May-12,573,115,41,412,5,514,48,2,417,10,37,59,0,59
Apr-12,527,87,25,413,3,490,38,2,416,8,26,37,0,37
Mar-12,458,66,24,366,2,430,32,2,368,6,22,28,0,28
Feb-12,417,42,19,354,2,398,21,0,356,4,17,19,0,19
Jan-12,311,21,12,269,8,297,12,0,270,2,14,14,0,14
Dec-11,"1,095",206,61,828,0,"1,018",88,4,805,26,97,77,0,76
Nov-11,"1,045",186,60,777,21,970,76,2,809,24,59,75,0,75
Oct-11,796,166,55,555,20,725,63,2,585,21,53,71,0,72
Sep-11,"1,054",150,55,806,44,988,54,2,860,20,53,66,0,66
Aug-11,465,123,50,257,35,412,42,1,304,17,49,53,0,53
Jul-11,403,103,49,212,39,356,34,1,265,15,41,47,0,47
Jun-11,326,84,45,170,27,289,28,1,207,13,41,37,0,37
May-11,288,68,36,158,25,256,22,1,191,11,31,32,0,32
Apr-11,283,54,13,191,25,274,17,1,221,9,26,9,0,9
Mar-11,168,39,11,117,0,166,13,0,120,7,26,2,0,2
Feb-11,98,25,9,64,0,101,8,0,65,5,23,-3,0,-3
Jan-11,62,11,9,42,0,64,4,0,40,2,18,-2,0,-2
Dec-10,317,96,33,157,31,329,21,1,207,29,71,-12,0,-11
Nov-10,290,87,32,137,33,304,18,1,189,27,69,-14,0,-14
Oct-10,294,77,30,162,24,312,16,1,203,25,66,-18,0,-18
Sep-10,270,67,30,148,24,289,14,1,189,22,62,-19,0,-19
Aug-10,178,58,28,93,0,199,12,1,106,19,61,-21,0,-21
Jul-10,135,47,24,65,0,159,9,1,60,17,73,-24,0,-24
Jun-10,103,36,22,46,0,127,6,1,41,14,65,-24,0,-24
May-10,78,26,19,33,0,103,3,0,25,12,62,-25,0,-25
Apr-10,48,18,16,14,0,68,2,0,13,9,43,-20,0,-20
Mar-10,34,13,12,9,0,48,2,0,10,7,29,-14,0,-14
Feb-10,14,8,4,2,0,29,1,0,3,5,20,-15,0,-16
Jan-10,6,4,1,1,0,18,1,0,1,2,14,-12,0,-12
Dec-09,74,13,7,54,0,152,2,1,48,19,82,-78,0,-78
Nov-09,65,9,7,49,0,136,1,1,42,15,77,-71,0,-70
Oct-09,48,6,3,39,0,113,1,0,34,14,64,-65,0,-65
Sep-09,921,3,3,36,879,977,1,0,29,12,936,-56,0,-56
Aug-09,770,1,2,30,737,815,0,0,24,10,780,-45,0,-45
Jul-09,653,0,0,29,624,685,0,0,21,8,656,-32,0,-32
Jun-09,524,0,0,22,501,543,0,0,15,6,522,-19,0,-19
May-09,164,0,0,6,158,182,0,0,5,4,172,-18,0,-18
Apr-09,26,0,0,1,25,37,0,0,1,2,34,-11,0,-11
