年月,本國銀行總機構數(家),外國及大陸地區銀行在臺分行總機構數(家),信用合作社總機構數(家),農會信用部總機構數(家),漁會信用部總機構數(家),信託投資公司總機構數(家),票券金融公司總機構數(家),中華郵政公司儲匯處總機構數(家),本國銀行分機構數(家),外國及大陸地區銀行在臺分行分機構數(家),信用合作社分機構數(家),農會信用部分機構數(家),漁會信用部分機構數(家),信託投資公司分機構數(家),票券金融公司分機構數(家),中華郵政公司儲匯處分機構數(家)
83,42,37,74,285,27,6,3,1,1577,57,530,827,38,53,22,1260
84,42,38,73,285,27,5,10,1,1807,58,556,886,44,49,29,1269
85,42,41,73,285,27,5,12,1,1936,65,595,925,47,55,31,1273
86,47,46,64,287,27,5,14,1,2176,69,505,943,48,61,34,1276
87,48,46,54,287,27,4,16,1,2404,72,446,958,49,43,39,1288
88,52,41,50,287,27,3,16,1,2576,70,416,971,49,36,46,1296
89,53,39,48,287,27,3,16,1,2693,70,394,973,49,36,52,1305
90,53,38,39,260,25,3,15,1,3005,69,373,883,44,33,48,1316
91,52,36,37,253,25,3,14,1,3068,68,358,847,40,29,45,1320
92,50,36,35,253,25,3,14,1,3173,69,341,828,39,28,45,1322
93,49,35,32,254,25,3,14,1,3189,67,319,827,39,26,44,1320
94,45,36,29,253,25,2,14,1,3239,68,295,827,39,20,44,1321
95,42,33,28,253,25,2,12,1,3285,64,289,817,40,20,37,1320
96,39,32,27,261,25,1,12,1,3313,83,267,811,40,6,35,1321
97,37,32,27,264,25,,10,1,3264,141,271,813,42,,33,1321
98,37,32,26,275,25,,10,1,3279,133,258,811,42,,32,1321
99,37,28,26,276,25,,9,1,3334,92,261,810,42,,30,1321
100,37,28,25,277,25,,8,1,3359,92,255,815,43,,30,1323
101,38,30,24,277,25,,8,1,3416,51,255,817,43,,30,1323
102,39,31,24,278,25,,8,1,3442,39,257,823,44,,30,1322
103,39,30,23,281,25,,8,1,3460,39,246,820,44,,30,1323
9601,41,33,28,254,25,2,12,1,3289,64,289,817,40,20,35,1320
9602,42,32,28,255,25,2,12,1,3290,63,289,818,40,20,35,1320
9603,42,32,28,255,25,2,12,1,3292,63,289,818,40,20,35,1320
9604,42,32,28,255,25,2,12,1,3296,63,289,818,40,20,35,1320
9605,42,32,28,256,25,2,12,1,3296,63,289,816,40,20,35,1320
9606,42,32,28,257,25,2,12,1,3300,61,289,813,40,20,35,1321
9607,42,32,27,257,25,2,12,1,3326,61,268,813,40,20,35,1321
9608,42,32,27,258,25,2,12,1,3328,61,268,812,40,20,35,1321
9609,40,32,27,260,25,2,12,1,3296,93,268,811,40,20,35,1321
9610,40,32,27,260,25,2,12,1,3295,93,268,811,40,20,35,1321
9611,40,32,27,261,25,2,12,1,3294,89,267,811,40,20,35,1321
9612,40,32,27,261,25,1,12,1,3313,83,267,811,40,6,35,1321
9701,39,32,27,262,25,1,12,1,3298,73,268,811,40,6,35,1321
9702,39,32,27,262,25,1,12,1,3299,73,269,811,40,6,35,1321
9703,38,32,27,263,25,1,12,1,3264,112,269,811,40,6,35,1321
9704,38,32,27,264,25,1,11,1,3270,114,269,812,40,6,34,1321
9705,37,32,27,264,25,1,10,1,3235,152,269,812,40,6,33,1321
9706,37,32,27,264,25,1,10,1,3235,151,270,812,40,6,33,1321
9707,37,32,27,264,25,1,10,1,3241,152,270,812,40,6,33,1321
9708,37,31,27,264,25,1,10,1,3243,150,270,812,40,6,33,1321
9709,37,31,27,264,25,1,10,1,3249,151,270,812,40,6,33,1321
9710,37,32,27,264,25,1,10,1,3252,149,270,812,40,6,33,1321
9711,37,32,27,264,25,1,10,1,3250,140,270,813,41,6,33,1321
9712,37,32,27,264,25,,10,1,3264,141,271,813,42,,33,1321
9801,37,32,27,264,25,,10,1,3266,141,271,812,42,,33,1321
9802,37,32,27,264,25,,10,1,3264,141,271,812,42,,32,1321
9803,37,32,27,264,25,,10,1,3266,141,272,812,42,,32,1321
9804,37,32,27,264,25,,10,1,3265,142,272,812,42,,32,1321
9805,37,32,27,264,25,,10,1,3257,143,272,811,42,,32,1321
9806,37,32,27,266,25,,10,1,3260,143,272,811,42,,32,1321
9807,37,32,27,267,25,,10,1,3265,143,272,810,42,,32,1321
9808,37,32,27,272,25,,10,1,3271,133,272,810,42,,32,1321
9809,37,32,26,274,25,,10,1,3285,133,258,810,42,,32,1321
9810,37,32,26,275,25,,10,1,3287,133,258,811,42,,32,1321
9811,37,32,26,275,25,,10,1,3289,133,258,811,42,,32,1321
9812,37,32,26,275,25,,10,1,3279,133,258,811,42,,32,1321
9901,37,32,26,276,25,,10,1,3282,133,258,811,42,,32,1321
9902,37,32,26,276,25,,10,1,3283,133,258,811,42,,32,1321
9903,37,31,26,276,25,,10,1,3285,132,259,810,42,,32,1321
9904,36,30,26,276,25,,10,1,3278,132,259,810,42,,32,1321
9905,37,30,26,276,25,,10,1,3311,99,260,810,42,,32,1320
9906,37,30,26,276,25,,10,1,3317,98,261,811,42,,32,1320
9907,37,29,26,276,25,,10,1,3319,97,261,811,42,,32,1322
9908,37,29,26,276,25,,9,1,3323,97,261,811,42,,30,1322
9909,37,29,26,276,25,,9,1,3326,98,261,811,42,,30,1321
9910,37,29,26,276,25,,9,1,3328,98,261,811,42,,30,1322
9911,37,28,26,276,25,,9,1,3330,93,261,810,42,,30,1322
9912,37,28,26,276,25,,9,1,3334,92,261,810,42,,30,1321
10001,37,28,26,276,25,,8,1,3337,92,262,810,42,,30,1321
10002,37,28,26,276,25,,8,1,3339,92,262,811,42,,30,1321
10003,37,28,26,276,25,,8,1,3340,92,262,811,42,,30,1323
10004,37,28,26,276,25,,8,1,3341,92,262,813,42,,30,1323
10005,37,28,26,276,25,,8,1,3344,92,263,813,42,,30,1323
10006,37,28,26,277,25,,8,1,3347,92,263,814,42,,30,1323
10007,37,28,25,277,25,,8,1,3355,92,255,814,42,,30,1323
10008,37,28,25,277,25,,8,1,3354,92,255,814,42,,30,1323
10009,37,28,25,277,25,,8,1,3352,92,255,814,42,,30,1323
10010,37,28,25,277,25,,8,1,3353,92,255,815,43,,30,1323
10011,37,28,25,277,25,,8,1,3357,92,255,815,43,,30,1323
10012,37,28,25,277,25,,8,1,3359,92,255,815,43,,30,1323
10101,38,28,25,277,25,,8,1,3398,53,256,815,43,,30,1323
10102,38,29,25,277,25,,8,1,3401,54,256,815,43,,30,1323
10103,38,29,25,277,25,,8,1,3404,54,256,815,43,,30,1323
10104,38,29,25,277,25,,8,1,3407,54,257,815,43,,30,1323
10105,38,29,25,277,25,,8,1,3408,54,257,815,43,,30,1323
10106,38,29,25,277,25,,8,1,3412,50,258,815,43,,30,1323
10107,38,30,25,277,25,,8,1,3413,51,258,815,43,,30,1323
10108,38,30,25,277,25,,8,1,3413,51,258,816,43,,30,1323
10109,38,30,25,277,25,,8,1,3413,51,258,816,43,,30,1323
10110,38,30,25,277,25,,8,1,3413,51,258,816,43,,30,1323
10111,38,30,24,277,25,,8,1,3416,51,255,816,43,,30,1323
10112,38,30,24,277,25,,8,1,3416,51,255,817,43,,30,1323
10201,38,30,24,277,25,,8,1,3417,51,255,817,43,,30,1322
10202,38,30,24,277,25,,8,1,3417,51,256,817,44,,30,1322
10203,38,30,24,277,25,,8,1,3416,51,256,818,44,,30,1322
10204,39,30,24,277,25,,8,1,3432,38,256,818,44,,30,1322
10205,39,30,24,277,25,,8,1,3433,38,257,818,44,,30,1322
10206,39,31,24,277,25,,8,1,3437,39,257,818,44,,30,1322
10207,39,31,24,277,25,,8,1,3439,39,257,818,44,,30,1322
10208,39,31,24,277,25,,8,1,3439,39,257,819,44,,30,1322
10209,39,31,24,277,25,,8,1,3439,39,257,819,44,,30,1322
10210,39,31,24,277,25,,8,1,3437,39,257,819,44,,30,1322
10211,39,31,24,278,25,,8,1,3442,39,257,820,44,,30,1322
10212,39,31,24,278,25,,8,1,3442,39,257,823,44,,30,1322
10301,39,31,24,278,25,,8,1,3443,40,259,823,44,,30,1323
10302,39,31,24,278,25,,8,1,3444,40,259,823,44,,30,1323
10303,39,30,24,278,25,,8,1,3442,39,259,823,44,,30,1323
10304,39,30,24,278,25,,8,1,3442,39,259,823,44,,30,1323
10305,39,30,24,279,25,,8,1,3441,39,260,820,44,,30,1323
10306,39,30,24,279,25,,8,1,3438,39,261,821,44,,30,1323
10307,39,30,23,280,25,,8,1,3457,39,245,821,44,,30,1323
10308,39,30,23,280,25,,8,1,3459,39,246,821,44,,30,1323
10309,39,30,23,281,25,,8,1,3459,39,246,821,44,,30,1323
10310,39,30,23,281,25,,8,1,3459,39,246,821,44,,30,1323
10311,39,30,23,281,25,,8,1,3462,39,246,820,44,,30,1323
10312,39,30,23,281,25,,8,1,3460,39,246,820,44,,30,1323
10401,39,30,23,281,25,,8,1,3459,39,246,820,44,,30,1324
10402,39,30,23,281,25,,8,1,3457,39,246,820,44,,30,1324
10403,39,30,23,281,25,,8,1,3455,39,247,820,44,,30,1324
10404,39,30,23,281,25,,8,1,3449,39,249,820,44,,30,1324
10405,39,30,23,281,25,,8,1,3443,39,250,820,44,,30,1324
10406,39,30,23,281,25,,8,1,3447,39,251,820,43,,30,1324
10407,39,30,23,281,26,,8,1,3446,39,252,820,43,,30,1324
10408,39,30,23,281,26,,8,1,3444,39,253,821,43,,30,1324
10409,39,30,23,281,26,,8,1,3442,39,253,821,43,,30,1324
10410,39,30,23,281,26,,8,1,3443,39,253,821,43,,30,1324
